  Phi ,Weight A,Weight B,Weight C,Weight D,Weight E,Weight F,Weight G,Weight H
-10,0,0,0,0,0,0,0,0
-9.5,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0
-8.5,0,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0
-7.5,0,0,0,0,0,0,0,0
-7,0,0,0,0,0,0,0,0
-6.5,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0
-5.5,0,0,0,0,0,0,0,0
-5,0,0,1.737,0,0,0,0,0
-4.5,2.616,0.46,0,0,0,0,0,0
-4,1.721,1.359,0.757,0.218,0,0,1.356,0
-3.5,1.801,0.817,0.535,0.732,0.349,0,0.434,0.584
-3,6.709,2.95,1.882,1.008,1.929,0,0.392,0.62
-2.5,6.101,3.282,2.601,2.255,2.351,0.401,1.127,2.951
-2,5.775,3.514,2.824,2.983,3.003,1.221,2.005,4.372
-1.5,6.706,4.144,3.805,4.493,4.792,2.088,2.727,6.425
-1,6.362,4.479,4.507,5.129,5.726,2.273,2.761,7.635
-0.5,8.317,5.45,6.776,7.361,8.447,3.288,3.823,9.601
0,8.736,5.758,7.742,8.498,9.162,4.1,4.737,9.416
0.5,10.151,7.387,9.213,9.604,10.49,5.983,6.312,9.803
1,8.614,8.024,8.429,8.25,9.673,6.775,7.046,8.484
1.5,4.814,6.013,5.48,5.522,6.49,5.413,5.945,5.64
2,5.498,8.482,7.296,7.46,8.133,8.563,9.739,7.064
2.5,3.219,5.937,4.834,5.099,4.995,6.429,6.827,4.448
3,2.804,6.391,5.256,5.388,4.927,7.428,7.425,4.256
3.5,1.939,6.153,4.243,4.597,3.79,6.729,5.85,3.169
4,1.977,8.298,5.081,5.691,5.179,8.955,8.299,3.287
4.5,1.256,4.374,4.211,4.124,2.628,9.926,4.163,1.909
5,2.986,3.596,5.445,3.658,2.989,4.271,8.972,3.791
5.5,0.405,0.618,1.567,1.726,1.145,3.411,1.855,0.902
6,0.313,0.51,1.27,1.349,0.854,2.766,1.57,0.883
6.5,0.192,0.316,0.753,0.78,0.492,1.627,1,0.627
7,0.198,0.332,0.747,0.78,0.488,1.617,1.059,0.707
7.5,0.151,0.255,0.548,0.583,0.361,1.197,0.832,0.589
8,0.094,0.159,0.338,0.367,0.222,0.746,0.533,0.393
8.5,0.111,0.185,0.405,0.446,0.263,0.897,0.639,0.482
9,0.098,0.164,0.372,0.414,0.239,0.83,0.573,0.438
9.5,0.084,0.144,0.332,0.368,0.213,0.743,0.496,0.381
10,0.053,0.093,0.214,0.237,0.139,0.483,0.314,0.241
10.5,0.058,0.102,0.236,0.26,0.153,0.535,0.341,0.263
11,0.045,0.08,0.183,0.2,0.12,0.417,0.266,0.203
11.5,0.026,0.047,0.107,0.118,0.071,0.246,0.158,0.12
12,0.027,0.049,0.109,0.12,0.074,0.252,0.164,0.125
12.5,0.019,0.035,0.075,0.083,0.051,0.175,0.116,0.086
13,0.01,0.018,0.04,0.044,0.028,0.094,0.062,0.047
13.5,0.009,0.016,0.035,0.038,0.024,0.081,0.055,0.042
14,0.004,0.007,0.015,0.016,0.01,0.035,0.024,0.017
14.5,0,0.001,0.002,0.002,0.001,0.004,0.003,0.002
15,0,0,0,0,0,0,0,0
